Date,RSI,K(14),R(14),MACD,Signal,PROC,OBV,Increase
2014-01-23,98.68909842920313,42.169115542125944,-57.830884457874056,0.19002928405311792,0.1372288808288123,0.020169997778472067,32408122.0,1
2014-01-24,97.91116804951686,35.972601403934,-64.02739859606599,0.19325029487498568,0.14843316363804698,0.015876580405560975,30571892.0,1
2014-01-27,95.09793364492651,36.26746185850194,-63.73253814149806,0.1919646947091067,0.15713946985225893,0.011076941494734545,28433845.0,1
2014-01-28,88.60531698520643,34.86588680708492,-65.13411319291508,0.18501014114763947,0.16271360411133504,0.007762172927370316,26449644.0,1
2014-01-29,76.02936212586731,47.65059479935408,-52.34940520064592,0.16959639983089048,0.16409016325524614,0.003491524124525555,23258434.0,1
2014-01-30,65.52485358655406,50.128362616850964,-49.871637383149036,0.1506757666158336,0.16140728392736364,-0.00048253624066961216,20765533.0,1
2014-01-31,55.33985116133419,48.555531663158554,-51.44446833684144,0.13110247381629136,0.1553463219051492,-0.005196871163272374,18514959.0,1
2014-02-03,46.74081265962701,45.939952163344785,-54.06004783665522,0.10923053330079213,0.1461231641842778,-0.009220340776494883,16271908.0,1
2014-02-04,39.10738270038717,42.145927368460114,-57.854072631539886,0.08353493272868562,0.13360551789315936,-0.013715414197773593,14534514.0,1
2014-02-05,30.02647272013536,40.92692512533716,-59.07307487466284,0.05463401080393382,0.11781121647531426,-0.01869223865532692,12550195.0,1
2014-02-06,18.825614275639268,42.256467807459195,-57.743532192540805,0.02818874084645273,0.09988672134954196,-0.01974285139203631,9175016.0,1
2014-02-07,21.151781084003332,44.0336506638508,-55.9663493361492,0.012923967307326478,0.08249417054109888,-0.017026250407779317,22647800.0,1
2014-02-10,22.934374693788698,45.65367586573079,-54.34632413426921,0.005089819286457242,0.06701330029017055,-0.014452722767901369,25828814.0,1
2014-02-11,21.678468938236165,46.643863217513655,-53.35613678248635,0.0015055069386100683,0.053911741619858455,-0.01167026610673319,27652564.0,1
2014-02-12,25.232194367819318,47.59350620250048,-52.40649379749952,0.0011847515841232337,0.04336634361271142,-0.007131036985121425,29782437.0,1
2014-02-13,28.830967356137634,48.68212274536863,-51.31787725463136,0.0037911034078170758,0.03545129557173255,-0.003699022122772365,32256544.0,1
2014-02-14,35.58231450580509,50.83145153627597,-49.16854846372403,0.01145863231132438,0.030652762919650918,0.00015548455142303116,34302011.0,1
2014-02-17,43.91406271528347,53.46759755846686,-46.53240244153314,0.02428804132112461,0.029379818599945658,0.005488484559632319,36221931.0,1
2014-02-18,54.42619848963102,56.015580928479025,-43.984419071520975,0.0407829308778922,0.03166044105553497,0.01176605572445963,37825942.0,1
2014-02-19,64.10686199299687,59.71229502713206,-40.28770497286794,0.06299136441263187,0.03792662572695435,0.0196696540230084,39889233.0,1
2014-02-20,71.90056971739403,56.56267538784957,-43.43732461215043,0.09230398388901406,0.04880209735936629,0.02678393757552,43421412.0,1
2014-02-21,79.27586175354452,59.983332830282166,-40.01666716971783,0.12450579562996111,0.06394283701348526,0.02873200199767384,47003435.0,1
2014-02-24,88.83326023521788,54.35203736063896,-45.64796263936103,0.16574993895601509,0.08430425740199123,0.03454962446716949,50505998.0,1
2014-02-25,97.07398805432125,56.20225742976482,-43.79774257023518,0.21417870905213832,0.11027914773202065,0.041369444410272474,53491767.0,1
2014-02-26,100.0,59.17640717076469,-40.82359282923531,0.2611028563515134,0.1404438894559192,0.04529324595617256,56399303.0,1
2014-02-27,100.0,42.270450588661404,-57.72954941133859,0.3020864961698422,0.1727724107987038,0.047157972744996036,59310013.0,1
2014-02-28,100.0,45.75631148123292,-54.24368851876707,0.3406225622815562,0.2063424410952743,0.048902204620993886,61634011.0,1
2014-03-03,100.0,45.97107740963932,-54.02892259036067,0.3674860808297069,0.23857116904216086,0.04592245664915229,64019235.0,1
2014-03-04,100.0,45.308930319652994,-54.691069680347006,0.38854467457180064,0.26856587014808886,0.044675281278111593,66389566.0,1
2014-03-05,100.0,43.60604335374492,-56.393956646255084,0.4042411798641439,0.2957009320912999,0.041795875390265684,70295915.0,1
2014-03-06,100.0,36.248507666894334,-63.751492333105666,0.41642901974287483,0.3198465496216149,0.038014828945945524,71839887.0,1
2014-03-07,100.0,32.48699411843113,-67.51300588156887,0.42312004106771894,0.3405012479108357,0.034194437727998926,73510056.0,1
2014-03-10,100.0,28.925381165174525,-71.07461883482547,0.4246224591732677,0.3573254901633221,0.026884914032852,74911854.0,1
2014-03-11,99.59823915212067,21.76462958457535,-78.23537041542465,0.42054634324396645,0.369969660779451,0.01879529493240196,72364072.0,1
2014-03-12,99.54338100400905,17.9344239003602,-82.0655760996398,0.41280434443089575,0.37853659750973995,0.013943210519278064,74478930.0,1
2014-03-13,98.06033331053942,17.161386389366843,-82.83861361063316,0.40086589504605996,0.38300245701700397,0.01034946352681318,72860848.0,1
2014-03-14,97.53437598745258,23.430509538015563,-76.56949046198443,0.3869721884052808,0.38379640329465936,0.006145352455303035,74952166.0,1
2014-03-17,96.78942968473663,25.81992429182709,-74.18007570817291,0.3747868203956237,0.38199448671485225,0.007224714962585286,76131954.0,1
2014-03-18,96.18115068540736,38.378037250690646,-61.621962749309354,0.3645389518390232,0.37850337973968645,0.006946320834443434,77329481.0,1
2014-03-19,96.00546210603933,42.96125250827137,-57.03874749172863,0.35772814940867903,0.37434833367348497,0.007671758794978819,78865775.0,1
2014-03-20,95.76410665476376,42.711058019380985,-57.288941980619015,0.3559267784957143,0.37066402263793086,0.008967058017951734,81186028.0,1
