Date,RSI,K(14),R(14),MACD,Signal,PROC,OBV,Increase
2014-01-23,29.00702678745897,65.61097410083703,-34.389025899162974,-0.14248689479296672,-0.12814888707914646,-0.002711157946739976,-6141484.0,1
2014-01-24,20.810106987990366,62.60725812821957,-37.39274187178044,-0.1869988495823236,-0.13991887957978189,-0.0061816914905544,-7116887.0,1
2014-01-27,18.771075913342514,65.16328358777275,-34.836716412227254,-0.24515211082268706,-0.16096552582836293,-0.006863864503593797,-8185918.0,1
2014-01-28,19.440424920039007,64.74215594117912,-35.25784405882088,-0.2906965250740683,-0.186911725677504,-0.006000005333896382,-9478599.0,1
2014-01-29,19.151730529695485,62.55363565134871,-37.44636434865129,-0.337495624931492,-0.2170285055283016,-0.007246530924302406,-10800178.0,1
2014-01-30,18.380468469184763,61.060139420312034,-38.939860579687966,-0.3801621172573988,-0.24965522787412106,-0.008732046170478241,-11482043.0,1
2014-01-31,18.861491070132615,58.95407879371998,-41.04592120628002,-0.42314322672571336,-0.28435282764443953,-0.011410000858509853,-12787915.0,1
2014-02-03,16.723943591397827,53.725318478117366,-46.27468152188264,-0.4864690067074946,-0.32477606345705057,-0.015538025611320595,-14122929.0,1
2014-02-04,14.637101880477644,56.2052756931688,-43.794724306831206,-0.5609373279756937,-0.37200831636077925,-0.018163034824873827,-15316590.0,1
2014-02-05,19.036308350437736,50.64786742516718,-49.35213257483282,-0.5950380394046277,-0.41661426096954896,-0.017071936598618925,-10589877.0,1
2014-02-06,28.633354313726883,51.48508555788418,-48.51491444211582,-0.5687687175084619,-0.44704515227733155,-0.010297011549764359,-7476604.0,1
2014-02-07,36.17160060120619,54.26429104488313,-45.73570895511687,-0.5013767693724134,-0.45791147569634794,-0.00263720403083626,-6412176.0,1
2014-02-10,43.574977300415604,58.07353547916041,-41.92646452083959,-0.40531119330896104,-0.4473914192188706,0.0035596030799465257,-5641012.0,1
2014-02-11,49.433681977775215,57.63614376526283,-42.36385623473718,-0.2790722451336052,-0.41372758440181756,0.008402626130026106,-4781161.0,1
2014-02-12,56.79817677627442,60.4664033648019,-39.5335966351981,-0.14280254102426682,-0.35954257572630743,0.01321238402397041,-3867375.0,1
2014-02-13,66.03583460877645,63.48953911662082,-36.51046088337919,-0.0017614374751957484,-0.2879863480760851,0.01742341896166491,-3041728.0,1
2014-02-14,73.48887889942242,65.87525247324788,-34.12474752675212,0.14693634453833226,-0.20100180955320163,0.022597454194382298,-2104113.0,1
2014-02-17,76.38735958456594,63.361108214346096,-36.638891785653904,0.30177217893830743,-0.10044701185489983,0.030068170846647962,-1408938.0,-1
2014-02-18,80.43644219410271,65.93123557139567,-34.068764428604325,0.4506282294194648,0.00976803639997309,0.036270687678557706,-467809.0,1
2014-02-19,83.58313670660719,68.9735065460789,-31.026493453921105,0.5987949644100183,0.12757342200198216,0.03807740441036028,648780.0,-1
2014-02-20,86.7115881529124,70.82612897149477,-29.17387102850524,0.7303909711363588,0.2481369318288575,0.035541764103090595,2131182.0,1
2014-02-21,93.59281481130218,72.5455876171239,-27.454412382876104,0.8458991490171002,0.367689375266506,0.03346919690459035,3438335.0,1
2014-02-24,100.0,53.671493699006625,-46.328506300993375,0.964250918798939,0.48700168397299265,0.03334009796390578,5325632.0,1
2014-02-25,100.0,35.74803757115773,-64.25196242884226,1.0885230152083523,0.6073059502200646,0.03281572055582215,7259579.0,1
2014-02-26,100.0,29.182728602510117,-70.81727139748988,1.2042289731132882,0.7266905547987094,0.032371604890932826,7936539.0,1
2014-02-27,100.0,35.53275928236087,-64.46724071763913,1.313853689726642,0.844123181784296,0.03227340759169322,9006023.0,1
