Date,RSI,K(14),R(14),MACD,Signal,PROC,OBV,Increase
2014-01-23,78.70883891163501,46.35701920415867,-53.64298079584133,0.12094191535139487,0.07562144841790398,0.004782571247216286,13623471.0,-1
2014-01-24,59.68514821187744,47.46101626618001,-52.53898373381999,0.10509209812106235,0.08151557835853565,0.0023780995335777513,10358985.0,1
2014-01-27,45.095932614540516,58.40478773050176,-41.59521226949824,0.06678985378898972,0.07857043344462647,-0.0009996744840633299,6669849.0,1
2014-01-28,37.0854893020661,54.15084906531893,-45.84915093468106,0.016837048158876655,0.0662237563874765,-0.004421191085545794,3920493.0,1
2014-01-29,33.92035534264012,50.94729925777294,-49.05270074222706,-0.036937785140750634,0.045591448081831076,-0.00851895541616101,-484851.0,1
2014-01-30,28.624368136294393,46.573715148800524,-53.426284851199476,-0.09837043947520385,0.01679907057042409,-0.011678252302517237,-2460942.0,1
2014-01-31,25.563245106616918,49.18204947079728,-50.817950529202726,-0.16226327991304856,-0.01901339952627044,-0.014895163019901118,-4720371.0,1
2014-02-03,19.63007761328791,44.47752022497687,-55.52247977502313,-0.23433914497691433,-0.06207854861639922,-0.018906192732664678,-7492059.0,1
2014-02-04,10.92036205479782,49.474163013190015,-50.52583698680998,-0.3009462423490845,-0.10985208736293628,-0.020986804737036586,-10594176.0,1
2014-02-05,8.498128571973723,50.95866062378042,-49.04133937621958,-0.3614455709913358,-0.16017078408861618,-0.022628507007458557,-13139025.0,1
2014-02-06,4.759412498609336,49.77771765096408,-50.22228234903592,-0.41074292414468516,-0.21028521209982998,-0.02253710159209318,-16942761.0,1
2014-02-07,7.160442085941739,51.821239639350566,-48.178760360649434,-0.43427410224161633,-0.25508299012818725,-0.018939620499392046,-11972448.0,1
2014-02-10,5.892653892925239,53.65721099329295,-46.342789006707044,-0.4477134355982315,-0.29360907922219615,-0.015620614549662794,-8898648.0,1
2014-02-11,11.698337190266713,63.76076360164357,-36.23923639835643,-0.4407402830590712,-0.32303531998957113,-0.011330680019841539,-7093935.0,1
2014-02-12,16.030767899810556,65.13340166115351,-34.86659833884649,-0.4214786750229962,-0.34272399099625617,-0.008162430727440405,-4364319.0,1
2014-02-13,19.63804806351419,66.2438386330864,-33.75616136691359,-0.39672151877316253,-0.35352349655163745,-0.0047973393748801385,-2000376.0,1
2014-02-14,24.69118989942443,67.24323190782596,-32.756768092174035,-0.3684271641175627,-0.3565042300648225,-0.0018726327358828845,-82422.0,1
2014-02-17,30.912394683276105,68.68724048180454,-31.312759518195467,-0.33573682300669816,-0.35235074865319765,0.002304170580236464,1328805.0,1
2014-02-18,33.62867570691124,68.20466310306377,-31.795336896936234,-0.3084120403983377,-0.34356300700222564,0.00379267777617173,-1483038.0,1
2014-02-19,38.79395225171825,67.96833932190448,-32.03166067809553,-0.2845240091390764,-0.3317552074295958,0.005287701280278364,-3373491.0,1
2014-02-20,42.63656299102418,66.6170223287925,-33.382977671207485,-0.26848374793880225,-0.3191009155314371,0.005305869886212682,-5771964.0,1
2014-02-21,51.214115411697804,65.40083703499184,-34.59916296500815,-0.2581830323677963,-0.306917338898709,0.0031116110902271884,-8193906.0,1
2014-02-24,54.27426222710977,52.94783069532206,-47.05216930467794,-0.2547821322541921,-0.2964902975698056,0.002047369508969702,-11127006.0,1
2014-02-25,55.31836798928914,42.601983708946676,-57.398016291053324,-0.2593165945854423,-0.28905555697293295,-0.0010773541273934972,-13990260.0,1
2014-02-26,52.746850984732696,41.30840305194632,-58.69159694805367,-0.2700902979364628,-0.2852625051656389,-0.003701516786833609,-15362319.0,1
2014-02-27,40.6953879906802,50.01167961537703,-49.988320384622966,-0.28677995551989,-0.2855659952364891,-0.005940327224470062,-17084745.0,1
2014-02-28,36.54111271069056,47.340056926080834,-52.659943073919166,-0.3067817570502598,-0.28980914759924326,-0.007952680798056283,-19240359.0,1
2014-03-03,21.9319809020558,49.651914676314654,-50.348085323685346,-0.3417894438104412,-0.3002052068414829,-0.011976217178358887,-21518421.0,1
2014-03-04,16.15578263219352,53.28521352901038,-46.71478647098963,-0.36419176667875774,-0.31300251880893787,-0.01153119310345946,-18645726.0,1
2014-03-05,11.773696747254306,52.80043015396314,-47.19956984603686,-0.3796110388662868,-0.3263242228204077,-0.01166878655126584,-22206597.0,1
2014-03-06,7.612110776750498,52.36412511642047,-47.635874883579525,-0.38918174892407364,-0.3388957280411409,-0.011110626585226853,-23901021.0,1
2014-03-07,1.1044625893159719,56.89603597820954,-43.10396402179046,-0.40298520744875077,-0.35171362392266287,-0.01186873322347374,-25828233.0,1
2014-03-10,0.995178442309097,60.42361272779092,-39.57638727220908,-0.42255923826508024,-0.36588274679114635,-0.012677161852304743,-27780195.0,1
2014-03-11,0.8828559042763118,60.503235801470076,-39.49676419852992,-0.4485647342394685,-0.3824191442808108,-0.013442345951631218,-30719289.0,1
2014-03-12,0.791709084299427,66.8880245903027,-33.111975409697294,-0.484485035798059,-0.4028323225842605,-0.014918765955007091,-34567812.0,1
2014-03-13,0.7115481457778401,65.12718888284016,-34.872811117159834,-0.5285165545460018,-0.4279691689766088,-0.016346585484953442,-37381764.0,1
2014-03-14,0.7098334394256938,64.6518708378141,-35.3481291621859,-0.5649866529979164,-0.4553726657808703,-0.016063202416241065,-42093498.0,1
2014-03-17,11.650333479066376,59.39657563306868,-40.60342436693132,-0.5687350998405236,-0.478045152592801,-0.010347480507593015,-37976094.0,1
2014-03-18,23.41303830519402,55.994210707192416,-44.00578929280759,-0.5425726664472705,-0.4909506553636949,-0.007339959073340473,-34560171.0,1
