date,pv
2021-10-05,28720.053221720467
2021-10-06,28324.187819498788
2021-10-07,28995.55152799488
2021-10-08,28665.065978068124
2021-10-11,28561.226958292733
2021-10-12,28958.61976529957
2021-10-13,29507.754134196053
2021-10-14,29914.79751106906
2021-10-15,30207.648623434783
2021-10-18,30184.220805136443
2021-10-19,30487.651568381072
2021-10-20,30524.563103391258
2021-10-21,30907.832222653953
2021-10-22,31123.70849021085
2021-10-25,30869.250737180475
2021-10-26,30954.935727109674
2021-10-27,30621.134663572077
2021-10-28,30820.44343222169
2021-10-29,30732.45948340564
2021-11-01,30860.0248291698
2021-11-02,31074.035380622438
2021-11-03,31094.122942912698
2021-11-04,31239.32213114512
2021-11-05,31177.718760478616
2021-11-08,31221.674432575783
2021-11-09,31160.583535969337
2021-11-10,31185.22163505133
2021-11-11,31363.028756328185
2021-11-12,31447.248887248596
2021-11-15,31355.89096586697
2021-11-16,31545.175664353297
2021-11-17,31723.71359770291
2021-11-18,31692.63936315947
2021-11-19,31863.40624396834
2021-11-22,31988.43738715681
2021-11-23,31703.351602244707
2021-11-24,31562.03428809676
2021-11-25,31706.271787650345
2021-11-26,30469.16450310444
2021-11-29,30706.719938285107
2021-11-30,30101.373762444033
2021-12-01,30371.700560519384
2021-12-02,30045.095847079443
2021-12-03,29879.281868444265
2021-12-06,30376.210208104952
2021-12-07,30601.387271093234
2021-12-08,31192.960570501193
2021-12-09,31946.02183072458
2021-12-10,31658.3486897513
2021-12-13,32076.518893913897
2021-12-14,31849.56626863924
2021-12-15,32105.793722874467
2021-12-16,32572.540480381787
2021-12-17,33035.665076023884
2021-12-20,32910.07383990938
2021-12-21,33370.52191799675
2021-12-22,33360.41001766716
2021-12-23,33700.98189911776
2021-12-27,33758.7877882474
2021-12-28,33971.89583954745
2021-12-29,34050.72105011874
2021-12-30,34137.14773163729
2022-01-03,34172.73005661898
2022-01-04,34030.742732857994
2022-01-05,33924.31765542356
2022-01-07,33849.53362832395
2022-01-10,33557.243166985005
2022-01-11,33864.157340111225
2022-01-12,33787.02206713149
2022-01-13,33845.110480370015
2022-01-14,33790.333273949116
2022-01-17,34388.31431108901
2022-01-18,34534.5701857228
2022-01-19,34892.76039797255
2022-01-20,35230.254675926655
2022-01-21,34721.78630739638
2022-01-24,33490.23090654799
2022-01-25,34192.51426989028
2022-01-26,34493.44087130019
2022-01-27,35534.93847567031
2022-01-28,35491.81626421401
2022-01-31,34795.6304464955
2022-02-01,34825.29285341689
2022-02-02,34877.90825563857
2022-02-03,34226.55800539443
2022-02-04,33941.83904558608
2022-02-07,34004.889945091694
2022-02-08,34094.24726015517
2022-02-09,34394.22784334609
2022-02-10,35451.10908311371
2022-02-11,35131.61147976727
2022-02-14,34696.279829987
2022-02-15,35792.45086455315
2022-02-16,36037.84451079339
2022-02-17,35965.63993620843
2022-02-18,35630.51667189568
2022-02-21,36396.5912797448
2022-02-22,35599.463361501395
2022-02-23,35668.89230132073
2022-02-24,34420.21415495843
2022-02-25,35653.99546599358
2022-02-28,35602.14630293816
2022-03-01,36122.13461470574
2022-03-02,37120.71636366814
2022-03-03,36041.19443678826
2022-03-04,35288.833342731195
2022-03-07,35307.685082706994
2022-03-08,35330.296883854455
2022-03-09,35982.64611938912
2022-03-10,36554.0459835859
2022-03-11,36820.24804810006
2022-03-14,37191.22510084792
2022-03-15,37153.66552508345
2022-03-16,37116.448598508745
2022-03-17,37334.24522195909
2022-03-18,37456.914220677354
2022-03-21,37769.16158865557
2022-03-22,37659.71480240657
2022-03-23,37904.60325302913
2022-03-24,38116.12038101985
2022-03-25,38161.4990812762
